name,time,time_left,last_online,last_update,init_DartMonkey,init_BoomerangMonkey,init_BombShooter,init_TackShooter,init_IceMonkey,init_GlueGunner,init_Desperado,init_SniperMonkey,init_MonkeySub,init_MonkeyBuccaneer,init_MonkeyAce,init_HeliPilot,init_MortarMonkey,init_DartlingGunner,init_WizardMonkey,init_SuperMonkey,init_NinjaMonkey,init_Alchemist,init_Druid,init_Mermonkey,init_BananaFarm,init_SpikeFactory,init_MonkeyVillage,init_EngineerMonkey,init_BeastHandler,init_Quincy,init_Gwendolin,init_StrikerJones,init_ObynGreenfoot,init_Silas,init_Benjamin,init_PatFusty,init_CaptainChurchill,init_Ezili,init_Rosalia,init_Etienne,init_Sauda,init_Adora,init_AdmiralBrickell,init_Psi,init_Geraldo,init_Corvus,init_gamecount,init_follower,DartMonkey,BoomerangMonkey,BombShooter,TackShooter,IceMonkey,GlueGunner,Desperado,SniperMonkey,MonkeySub,MonkeyBuccaneer,MonkeyAce,HeliPilot,MortarMonkey,DartlingGunner,WizardMonkey,SuperMonkey,NinjaMonkey,Alchemist,Druid,Mermonkey,BananaFarm,SpikeFactory,MonkeyVillage,EngineerMonkey,BeastHandler,Quincy,Gwendolin,StrikerJones,ObynGreenfoot,Silas,Benjamin,PatFusty,CaptainChurchill,Ezili,Rosalia,Etienne,Sauda,Adora,AdmiralBrickell,Psi,Geraldo,Corvus,gamecount,follower,url,pfp_url
Bonnie,383400,2275000,0,,413,509,448,126,244,142,91,217,260,711,233,52,47,45,234,20,858,266,451,112,537,146,365,469,19,54,1,8,20,,59,1,1,17,0,132,12,0,1,205,15,0,770,1,1,1,0,0,10,0,0,1,7,17,10,0,0,0,1,0,0,0,1,28,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,1,0,0,14,0,https://data.ninjakiwi.com/btd6/users/9fb6118c89c3aba549448c4e5e72b3739a041db5cc18d06d,https://static-api.nkstatic.com/appdocs/4/assets/opendata/c9e733296983b2065232101e2cb7fb45_ProfileAvatar21.png
QDCZHC,385033,7523000,0,,3547,2270,1465,2019,1849,696,401,2358,1523,2521,1080,803,1098,932,2301,600,1265,2991,1865,1285,3933,476,3176,1048,496,244,389,211,306,39.0,190,78,114,27,190,199,1330,39,219,214,112,28,5664,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9cea17d8da90abf71143db490c7be77fca0449ef9a128c6c,https://static-api.nkstatic.com/appdocs/4/assets/opendata/0fb277e64c75fc888d3dca1a1f4cedae_ProfileAvatar120.png
Gaster,208083,60638000,0,,119,9,7,6,29,11,2,9,5,81,19,6,8,26,1,38,19,15,14,7,5,72,10,4,22,1,0,0,0,1.0,12,4,0,3,0,0,9,0,0,2,3,0,49,1,3,0,18,12,18,0,2,5,23,14,6,0,0,13,1,16,28,13,49,4,16,26,17,14,0,1,0,0,0,0.0,9,0,0,0,0,0,5,0,3,0,0,0,34,0,https://data.ninjakiwi.com/btd6/users/9fb6448fdd92afa21c458b4c5875b424cc001ebc98468c30,https://static-api.nkstatic.com/appdocs/4/assets/opendata/f6e3c540b6ef197b2a6f9c29bca21374_ProfileAvatar121.png
JCProgrammer,412233,6577000,0,,15617,8552,8973,7930,7310,3630,390,7967,8458,17202,6127,1716,2790,2105,2922,2045,9423,8437,6459,559,31700,3766,9852,2766,559,526,1352,568,444,21.0,1340,163,328,93,46,100,1599,114,425,144,506,58,14178,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9cb945de8ec7f1a21b418b1a0c71b722cc0d49ee9c438d3c,https://static-api.nkstatic.com/appdocs/4/assets/opendata/50113dcf0d0abda55e034354668add69_ProfileAvatar97.png
PeteGunn,465800,3887000,0,,5997,1390,1650,1688,2823,860,1580,2380,2045,3242,892,1065,883,756,1701,1017,2106,1849,2054,1846,3468,522,2600,929,359,424,504,229,182,277.0,210,65,114,103,151,751,333,50,204,182,123,35,7135,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fba1682dfc4fef71e14de495b70e622ce021dba9d438c3b,https://static-api.nkstatic.com/appdocs/4/assets/opendata/9bc303571d618df5c942b015e66b0276_ProfileAvatar15.png
Kappa Shark,504433,5065000,0,,2959,1860,1211,2434,675,1578,263,2907,1850,1862,1235,2080,268,714,2627,1071,1265,481,2231,548,2124,1453,942,1694,229,266,122,171,202,22.0,116,106,202,217,44,814,887,61,73,97,13,127,7211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbc458fd896f9a64913db425f21e671c9024eb4cc45893e,https://static-api.nkstatic.com/appdocs/4/assets/opendata/db32af61df5646951a18c60fe0013a31_ProfileAvatar01.png
Chalkless,560467,2598000,0,,2571,827,984,1039,456,626,107,1795,1334,1628,863,861,369,440,1403,806,1513,567,1194,89,2196,458,1014,1050,496,472,124,96,91,14.0,115,154,83,71,10,356,715,170,71,133,56,1,6555,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9cb6418c8e97aaa31f4a871d0c25b07ecc5518edca178e69,https://static-api.nkstatic.com/appdocs/4/assets/opendata/27759e5e005688c57acaf5cad2c790ac_ProfileAvatar56.png
Sirena31415,608883,7289000,0,,12581,6684,4465,7122,4434,3025,1018,6148,4225,9336,4402,3742,2547,2747,5273,3627,6541,4308,4817,2413,22358,7823,2546,5746,719,803,814,426,584,203.0,701,315,495,259,292,1332,1276,233,338,180,207,261,12659,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbb42898dc0f9ac1010861a5e21b3719f0014eaca458b6e,https://static-api.nkstatic.com/appdocs/4/assets/opendata/a5edd53febfe8997b9ab8565dc397225_ProfileAvatar27.png
lookmar10,671633,3529000,0,,7114,3890,1023,5519,1568,1927,290,4006,2379,5017,1639,627,796,657,2819,842,3981,3095,3784,528,22168,1532,3057,2115,597,439,201,121,296,57.0,945,60,71,63,31,1598,619,71,148,164,44,13,10064,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9cea138a8a97fbf64d46db435f21e77fc9551eb49819de6b,https://static-api.nkstatic.com/appdocs/4/assets/opendata/845b9c31facac365f6d1a03247495b7b_ProfileAvatar82.png
Termineighter,713650,4937000,0,,5403,2382,3125,3144,2219,1728,212,3468,2171,5184,1709,855,1268,1500,2414,1499,4754,2851,3021,250,11296,2074,3989,2253,670,271,277,260,324,50.0,312,172,220,103,70,244,667,135,122,161,188,21,12515,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9cea16dad8c5ada51f138619597ae77099511fea9b178e31,https://static-api.nkstatic.com/appdocs/4/assets/opendata/b2795bc0400051550b15778233a07d77_ProfileAvatar72.png
Be nice,752833,3079000,0,,2739,1366,964,931,295,284,699,3787,1931,2234,3023,1034,127,678,1427,588,1655,423,1402,765,731,76,274,939,159,541,99,138,150,33.0,83,74,146,17,76,941,117,62,58,63,2,23,4874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbb1583d694fbad104add4c5976b3739f504fb8cb458d3e,https://static-api.nkstatic.com/appdocs/4/assets/opendata/db32af61df5646951a18c60fe0013a31_ProfileAvatar01.png
tacky,767117,1476000,0,,7268,2087,1237,1205,1931,2182,336,3784,2910,6290,1713,1473,1676,728,2243,1075,2826,1715,3719,574,5065,2312,2470,1187,519,378,153,110,689,61.0,1167,170,237,130,172,1080,574,104,241,432,96,52,13411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbb168a8cc7fbf14c468e1a5a25b7739a504ebf9b43df3a,https://static-api.nkstatic.com/appdocs/4/assets/opendata/b8170f4ca681b8c6839efa57e6edf056_ProfileAvatar34.png
Austin,779783,1539000,0,,2569,406,1015,588,293,1045,290,2816,1826,2180,1567,1024,371,457,2258,1117,1413,238,1166,320,3097,1216,1151,312,63,560,115,55,67,44.0,709,86,373,44,54,106,134,42,71,20,32,15,5116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9cea43dddd90fcac184a8c4a0d75e777990049bc9717da3e,https://static-api.nkstatic.com/appdocs/4/assets/opendata/2fc9f28c7010660bbafdf586af3cefcb_ProfileAvatar05.png
MIX,861333,5773000,0,,3373,1832,866,1447,633,1377,679,2501,667,2496,1638,356,287,434,1791,363,1602,1812,1155,739,2150,1957,1398,646,249,146,61,32,89,89.0,1574,26,30,9,94,807,349,122,32,264,12,62,5759,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb843838cc3ada71016dc180e73b325cd561bbe9c148b31,https://static-api.nkstatic.com/appdocs/4/assets/opendata/b2795bc0400051550b15778233a07d77_ProfileAvatar72.png
Lucas,918667,5527000,0,,2044,1379,1195,1430,793,986,95,3623,1280,11229,1986,1035,1136,1050,1743,2016,1866,783,2812,778,4578,603,1423,1447,502,271,69,69,93,16.0,519,45,217,11,24,270,383,96,55,67,14,23,4930,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbf1283de96fcf311108b1f5e77e022c4004cbc9e18da3d,https://static-api.nkstatic.com/appdocs/4/assets/opendata/ab4e2441cc228cff13033032e2f737d8_ProfileAvatar46.png
Peter,972033,7180000,0,,3516,1527,2922,4746,2717,3418,270,4985,1722,4059,2984,3900,1144,2962,4941,2983,5327,2644,5258,2171,6674,7715,2037,2869,1710,326,216,198,340,177.0,141,103,408,134,56,1553,159,30,88,128,98,44,8517,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbd4182dbc0adf44b16dd1a0925ef76ca511aee9a18d93c,https://static-api.nkstatic.com/appdocs/4/assets/opendata/51524359fcf0d2950590fed2a24ede0e_ProfileAvatar68.png
HollaJessie,1047267,1249000,0,,416,699,950,771,236,502,201,928,358,676,341,659,284,173,1085,298,992,194,657,638,331,405,225,450,154,48,12,51,286,52.0,1,0,39,11,37,45,19,48,9,417,5,1,1886,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb81f8ede9ffdf74d408a480c71e77fc9554ebeca17896a,https://static-api.nkstatic.com/appdocs/4/assets/opendata/b1ef093283db879ae51f4dc27b82a5a0_ProfileAvatar37.png
Katmai,1075583,6125000,0,,5967,1840,1959,1990,1343,1034,50,4063,2360,7813,2658,1881,860,1446,2332,1143,3372,2499,3543,323,9675,2162,1190,1084,1024,762,521,390,1029,22.0,664,222,372,547,24,724,203,240,230,255,55,50,11036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9ced1583da92fea54b468c435e20b426cd014cba99178b6b,https://static-api.nkstatic.com/appdocs/4/assets/opendata/9bc303571d618df5c942b015e66b0276_ProfileAvatar15.png
Zymakar,1096033,4296000,0,,587,218,154,213,106,331,71,313,147,398,75,80,36,67,249,123,166,193,197,131,353,128,105,104,241,5,3,4,36,36.0,44,2,8,3,12,273,107,12,1,135,2,18,1117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9cb71e8dd994a8a14e418e1a5a22b073cc0d4ebec845dd30,https://static-api.nkstatic.com/appdocs/4/assets/opendata/48a7610052fb1921a5b888a6e489041b_ProfileAvatar23.png
RonMueller,1122717,2127000,0,,1136,410,958,1010,216,57,264,1687,721,2412,971,658,250,489,584,429,308,193,1047,191,2582,984,668,603,244,130,24,17,164,16.0,97,0,56,1,5,832,412,14,53,15,10,4,3922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb71f8ed990f1f14c4788430b73e024ce0214eeca43dd69,https://static-api.nkstatic.com/appdocs/4/assets/opendata/408a90f9079252e8d499fcd6a423481c_ProfileAvatar87.png
Player,1191483,4571000,0,,2259,381,458,301,382,140,171,467,262,409,803,248,51,309,469,168,311,306,475,196,1569,477,209,187,68,86,19,24,44,54.0,63,19,27,20,85,317,90,21,14,14,3,8,3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb7448dddc0abad4b4586195e20e074cf054fb8cf17d86a,https://static-api.nkstatic.com/appdocs/4/assets/opendata/db32af61df5646951a18c60fe0013a31_ProfileAvatar01.png
HeroicTiger967,1191550,4190000,0,,517,340,296,140,241,266,174,478,358,541,69,280,269,412,810,395,612,388,730,358,46,252,114,182,195,72,107,107,255,34.0,18,38,67,26,47,11,44,32,53,35,53,9,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb91ed8d797f9f34e138f4b0e71b77fca5219bc9e44de6d,https://static-api.nkstatic.com/appdocs/4/assets/opendata/db32af61df5646951a18c60fe0013a31_ProfileAvatar01.png
Monke,1196550,2419000,0,,18530,5716,7480,5437,2879,3586,338,7315,5773,10418,6704,7019,1424,3429,6550,5056,7495,9494,8016,627,7525,5201,8074,2491,2084,1000,462,714,1791,80.0,885,448,417,422,157,3071,1834,357,663,722,1178,65,23719,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9ce91783dd96a8ad1c13894d0d70e67599034beecb198a39,https://static-api.nkstatic.com/appdocs/4/assets/opendata/b2795bc0400051550b15778233a07d77_ProfileAvatar72.png
Sylvi,1241683,3310000,0,,556,169,343,430,129,163,59,830,726,439,713,363,61,370,227,561,315,237,280,80,1038,185,338,184,114,27,2,0,58,,147,11,7,11,7,315,89,195,21,25,0,0,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbf16dad9c0ffa34a4b874e0d72e724c8511be9cc45df38,https://static-api.nkstatic.com/appdocs/4/assets/opendata/8d1f5c0e0b236db312bc778b894501a7_ProfileAvatar40.png
sohon3,1270817,6356000,0,,26078,8628,3057,3989,3913,2961,369,15157,11359,13213,9057,3452,3672,1654,8140,3277,13374,19233,12272,1145,56138,4839,21529,1682,859,650,296,267,801,352.0,3100,149,1300,4232,53,777,2715,653,217,1257,201,42,26072,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9ce942da8c95fdf61e168b435d25e77f9a011abecb10dc3e,https://static-api.nkstatic.com/appdocs/4/assets/opendata/c222d33c20b59c0a4d8d85fcb20e9ef4_ProfileAvatar33.png
ValiantBadger39,1381717,3651000,0,,2083,980,530,384,424,497,288,1377,524,304,253,418,76,61,540,91,649,1239,729,403,862,584,1039,208,62,301,34,21,583,47.0,164,11,36,18,32,47,474,7,41,30,4,4,2698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb745d98cc5fbf0101189430977b47f98014ce89c118a6e,https://static-api.nkstatic.com/appdocs/4/assets/opendata/db32af61df5646951a18c60fe0013a31_ProfileAvatar01.png
Nomios,1393583,3984000,0,,647,399,122,208,52,83,186,556,294,330,137,197,18,215,357,74,276,96,330,201,669,86,452,6,5,19,6,8,31,11.0,57,0,18,1,3,32,377,14,7,65,1,6,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb611de8cc3ada01c41894a5876e325c8051ebd9c12da3f,https://static-api.nkstatic.com/appdocs/4/assets/opendata/ba07ae7b394cd4fa9fc329a100505d5b_ProfileAvatar51.png
EconomicKey6,1410433,650000,0,,2210,847,420,365,287,298,45,719,579,858,510,335,241,366,634,406,769,549,590,68,3142,311,625,428,206,160,73,46,113,7.0,171,70,37,17,9,82,262,65,52,25,40,18,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbb1fdf8bc4a8a11a108b1f5827e3739f041db9ca418e6d,https://static-api.nkstatic.com/appdocs/4/assets/opendata/9bc303571d618df5c942b015e66b0276_ProfileAvatar15.png
